,0
0,Alaska
1,Arizona
2,Arkansas
3,Colorado
4,Delaware
5,Iowa
6,Louisiana
7,Massachusetts
8,Minnesota
9,New Hampshire
10,New Jersey
11,New Mexico
12,North Carolina
13,North Dakota
14,Ohio
15,Oklahoma
16,Pennsylvania
17,Rhode Island
18,South Carolina
19,South Dakota
20,Tennessee
21,Utah
22,Vermont
23,Virginia
24,Washington
25,West Virginia
26,Wisconsin
27,Wyoming
